ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Wu12,ivsel:Wu12|exp:1|p10,NVP,=,0.8,µM,False
Wu12,ivsel:Wu12|exp:2|p10,NVP,=,0.8,µM,False
Wu12,ivsel:Wu12|exp:3|p10,NVP,=,0.8,µM,False
Wu12,ivsel:Wu12|exp:1|p15,NVP,=,8.0,µM,False
Wu12,ivsel:Wu12|exp:2a|p15,NVP,=,8.0,µM,False
Wu12,ivsel:Wu12|exp:2b|p15,NVP,=,8.0,µM,False
Wu12,ivsel:Wu12|exp:3|p15,NVP,=,8.0,µM,False
Wu12,ivsel:Wu12|exp:4|p15,NVP,=,8.0,µM,False
Wu12,ivsel:Wu12|exp:1|p20,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:2a|p20,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:2b|p20,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:3|p20,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:4|p20,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:1|p25,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:2a|p25,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:2b|p25,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:3|p25,NVP,=,64.0,µM,False
Wu12,ivsel:Wu12|exp:4|p25,NVP,=,64.0,µM,False
