ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p4,DTG,=,3.33,nM,False
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p8,DTG,=,3.33,nM,False
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p12,DTG,=,3.33,nM,False
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p16,DTG,=,3.85,nM,False
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p20,DTG,=,3.85,nM,False
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p24,DTG,=,16.65,nM,False
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p28,DTG,=,16.65,nM,False
Kobayashi11,ivsel:Kobayashi11|DTG|exp:1|p32,DTG,=,16.65,nM,False
Kobayashi11,ivsel:Kobayashi11|RAL|exp:1|p4,RAL,=,16.13,nM,False
Kobayashi11,ivsel:Kobayashi11|RAL|exp:1|p8,RAL,=,80.13,nM,False
Kobayashi11,ivsel:Kobayashi11|RAL|exp:1|p12,RAL,=,80.65,nM,False
Kobayashi11,ivsel:Kobayashi11|RAL|exp:1|p16,RAL,=,403.2,nM,False
Kobayashi11,ivsel:Kobayashi11|RAL|exp:1|p20,RAL,=,2003.2,nM,False
Kobayashi11,ivsel:Kobayashi11|RAL|exp:1|p24,RAL,=,2016.0,nM,False
Kobayashi11,ivsel:Kobayashi11|3TC|exp:1|p4,3TC,=,2.4,µM,False
Kobayashi11,ivsel:Kobayashi11|3TC|exp:1|p8,3TC,=,10.4,µM,False
Kobayashi11,ivsel:Kobayashi11|3TC|exp:1|p12,3TC,=,10.4,µM,False
