ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Vaillancourt99,ivsel:Vaillancourt99|exp:1|p4,SQV,=,0.016,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:1|p10,SQV,=,0.188,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:1|p15,SQV,=,1.86,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:1|p17,SQV,=,4.2,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:1|p27,SQV,=,5.0,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:2|p5,SQV,=,0.024,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:2|p7,SQV,=,0.054,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:2|p10,SQV,=,0.183,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:2|p15,SQV,=,1.4,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:3|p5,SQV,=,0.032,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:3|p7,SQV,=,0.13,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:3|p10,SQV,=,1.12,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:4|p4,SQV,=,0.016,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:4|p10,SQV,=,0.18,µM,False
Vaillancourt99,ivsel:Vaillancourt99|exp:4|p15,SQV,=,1.4,µM,False
