ref_name,doi,medline_id,url,first_author,title,year,published
Richman91,10.1073/pnas.88.24.11241,NULL,NULL,"Richman, D.",Human immunodeficiency virus type 1 mutants resistant to nonnucleoside inhibitors of reverse transcriptase arise in tissue culture,1991,TRUE
Gao92,10.1128/JVI.66.1.12-19.1992,NULL,NULL,"Gao, Q.","In vitro selection of variants of human immunodeficiency virus type 1 resistant to 3'-azido-3'-deoxythymidine and 2',3'-dideoxyinosine",1992,TRUE
Boucher93,10.1128/AAC.37.10.2231,NULL,NULL,"Boucher, C. A.","High-level resistance to (-) enantiomeric 2'-deoxy-3'-thiacytidine in vitro is due to one amino acid substitution in the catalytic site of human immunodeficiency virus type 1 reverse transcriptase",1993,TRUE
Gao93,10.1128/AAC.37.6.1390,NULL,NULL,"Gao, Q.","The same mutation that encodes low-level human immunodeficiency virus type 1 resistance to 2',3'-dideoxyinosine and 2',3'-dideoxycytidine confers high-level resistance to the (-) enantiomer of 2',3'-dideoxy-3'-thiacytidine",1993,TRUE
Larder93,10.1038/365451a0,NULL,NULL,"Larder, B. A.",Convergent combination therapy can select viable multidrug-resistant HIV-1 in vitro,1993,TRUE
Tisdale93,10.1073/pnas.90.12.5653,NULL,NULL,"Tisdale, M. J.",Rapid in vitro selection of human immunodeficiency virus type 1 resistant to 3'-thiacytidine inhibitors due to a mutation in the YMDD region of reverse transcriptase.,1993,TRUE
Lacey94,10.1128/AAC.38.6.1428,NULL,NULL,"Lacey, S. F.","Novel mutation (V75T) in human immunodeficiency virus type 1 reverse transcriptase confers resistance to 2',3'-didehydro-2',3'-dideoxythymidine in cell culture",1994,TRUE
Jacobsen95,10.1016/S0042-6822(95)80069-7,NULL,NULL,"Jacobsen, Helmut",Characterization of human immunodeficiency virus type 1 mutantswith decreased sensitivity to proteinase inhibitor Ro 31-8959,1995,TRUE
Tisdale95,10.1128/AAC.39.8.1704,NULL,NULL,"Tisdale, M",Cross-resistance analysis of human immunodeficiency virus type 1 variants individually selected for resistance to five different protease inhibitors,1995,TRUE
Keulen97,10.1128/jvi.71.4.3346-3350.1997,NULL,NULL,"Keulen, W",Initial appearance of the 184Ile variant in lamivudine-treated patients is caused by the mutational bias of human immunodeficiency virus type 1 reverse transcriptase,1997,TRUE
Tisdale97,10.1128/AAC.41.5.1094,NULL,NULL,"Tisdale, M",Combination of mutations in human immunodeficiency virus type 1 reverse transcriptase required for resistance to the carbocyclic nucleoside 1592U89,1997,TRUE
Carrillo98,10.1128/JVI.72.9.7532-7541.1998,NULL,NULL,"Carrillo, Alejandro","In Vitro Selection and Characterization of Human Immunodeficiency Virus Type 1 Variants with Increased Resistance to ABT-378, a Novel Protease Inhibitor",1998,TRUE
Vaillancourt99,10.1089/088922299311321,NULL,NULL,"Vaillancourt, Marc",The HIV Type 1 Protease Inhibitor Saquinavir Can Select for Multiple Mutations that Confer Increasing Resistance,1999,TRUE
Wainberg99,10.1177/135965359900400205,NULL,NULL,"Wainberg, Mark A",In vitro Selection and Characterization of HIV-1 with Reduced Susceptibility to PMPA,1999,TRUE
Gong00,10.1128/AAC.44.9.2319-2326.2000,NULL,NULL,"Gong, Yi-Fei",In Vitro Resistance Profile of the Human Immunodeficiency Virus Type 1 Protease Inhibitor BMS-232632,2000,TRUE
Fikkert03,10.1128/JVI.77.21.11459-11470.2003,NULL,NULL,"Fikkert, Valery",Development of Resistance against Diketo Derivatives of Human Immunodeficiency Virus Type 1 by Progressive Accumulation of Integrase Mutations,2003,TRUE
García-Lerma03,10.1128/JVI.77.10.5685-5693.2003,NULL,NULL,"García-Lerma, J. Gerardo",A Novel Genetic Pathway of Human Immunodeficiency Virus Type 1 Resistance to Stavudine Mediated by the K65R Mutation,2003,TRUE
Mo03,10.1016/S0166-3542(03)00107-4,NULL,NULL,"Mo, Hongmei",Characterization of resistant HIV variants generated by in vitro passage with lopinavir/ritonavir,2003,TRUE
Watkins03,10.1128/AAC.47.2.759-769.2003,NULL,NULL,"Watkins, Terri",Selection of High-Level Resistance to Human Immunodeficiency Virus Type 1 Protease Inhibitors,2003,TRUE
Stone04,10.1128/AAC.48.4.1413-1415.2004,NULL,NULL,"Stone, Chris",Human immunodeficiency virus type 1 reverse transcriptase mutation selection during in vitro exposure to tenofovir alone or combined with abacavir or lamivudine,2004,TRUE
