ref_name,isolate_name,baseline_isolate_name,cell_line,experiment,passage_cmp,passage,passage_unknown,cumulative_culture_time_cmp,cumulative_culture_time,cumulative_culture_time_unit,cumulative_culture_time_unknown,section
Watkins03,ivsel:Watkins03|SQV|exp:1|p4,NL4-3,CEMx174,1,=,4,False,~,20,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV|exp:1|p10,NL4-3,CEMx174,1,=,10,False,~,50,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV|exp:1|p15,NL4-3,CEMx174,1,=,15,False,~,75,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV|exp:1|p17,NL4-3,CEMx174,1,=,17,False,~,85,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV|exp:1|p18,NL4-3,CEMx174,1,=,18,False,~,90,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV|exp:1|p27,NL4-3,CEMx174,1,=,27,False,~,135,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV|exp:1|p37,NL4-3,CEMx174,1,=,37,False,~,185,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV|exp:1|p47,NL4-3,CEMx174,1,=,47,False,~,235,day,False,Table 1
Watkins03,ivsel:Watkins03|RTV|exp:1|p10,NL4-3,CEMx174,1,=,10,False,~,50,day,False,Table 1
Watkins03,ivsel:Watkins03|RTV|exp:1|p12,NL4-3,CEMx174,1,=,12,False,~,60,day,False,Table 1
Watkins03,ivsel:Watkins03|RTV|exp:1|p14,NL4-3,CEMx174,1,=,14,False,~,70,day,False,Table 1
Watkins03,ivsel:Watkins03|RTV|exp:1|p15,NL4-3,CEMx174,1,=,15,False,~,75,day,False,Table 1
Watkins03,ivsel:Watkins03|RTV|exp:1|p24,NL4-3,CEMx174,1,=,24,False,~,120,day,False,Table 1
Watkins03,ivsel:Watkins03|RTV|exp:1|p34,NL4-3,CEMx174,1,=,34,False,~,170,day,False,Table 1
Watkins03,ivsel:Watkins03|RTV|exp:1|p44,NL4-3,CEMx174,1,=,44,False,~,220,day,False,Table 1
Watkins03,ivsel:Watkins03|IDV|exp:1|p10,NL4-3,CEMx174,1,=,10,False,~,50,day,False,Table 1
Watkins03,ivsel:Watkins03|IDV|exp:1|p13,NL4-3,CEMx174,1,=,13,False,~,65,day,False,Table 1
Watkins03,ivsel:Watkins03|IDV|exp:1|p16,NL4-3,CEMx174,1,=,16,False,~,80,day,False,Table 1
Watkins03,ivsel:Watkins03|IDV|exp:1|p17,NL4-3,CEMx174,1,=,17,False,~,85,day,False,Table 1
Watkins03,ivsel:Watkins03|IDV|exp:1|p25,NL4-3,CEMx174,1,=,25,False,~,125,day,False,Table 1
Watkins03,ivsel:Watkins03|IDV|exp:1|p35,NL4-3,CEMx174,1,=,35,False,~,175,day,False,Table 1
Watkins03,ivsel:Watkins03|IDV|exp:1|p45,NL4-3,CEMx174,1,=,45,False,~,225,day,False,Table 1
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p4,NL4-3,CEMx174,1,=,4,False,~,20,day,False,Table 2
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p10,NL4-3,CEMx174,1,=,10,False,~,50,day,False,Table 2
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p15,NL4-3,CEMx174,1,=,15,False,~,75,day,False,Table 2
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p16,NL4-3,CEMx174,1,=,16,False,~,80,day,False,Table 2
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p17,NL4-3,CEMx174,1,=,17,False,~,85,day,False,Table 2
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p27,NL4-3,CEMx174,1,=,27,False,~,135,day,False,Table 2
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p10,NL4-3,CEMx174,1,=,10,False,~,50,day,False,Table 2
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p14,NL4-3,CEMx174,1,=,14,False,~,70,day,False,Table 2
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p16,NL4-3,CEMx174,1,=,16,False,~,80,day,False,Table 2
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p17,NL4-3,CEMx174,1,=,17,False,~,85,day,False,Table 2
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p27,NL4-3,CEMx174,1,=,27,False,~,135,day,False,Table 2
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p11,NL4-3,CEMx174,1,=,11,False,~,55,day,False,Table 2
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p15,NL4-3,CEMx174,1,=,15,False,~,75,day,False,Table 2
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p18,NL4-3,CEMx174,1,=,18,False,~,90,day,False,Table 2
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p19,NL4-3,CEMx174,1,=,19,False,~,95,day,False,Table 2
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p29,NL4-3,CEMx174,1,=,29,False,~,145,day,False,Table 2
